Artikelnummer;Bezeichnung1;Bezeichnung2;EANNummer;Gewicht;GewichtLME;USER_AABreite;USER_AAHoehe;USER_AATiefe;USER_AFBreite;USER_AFGewicht;USER_AFHoehe;USER_AFLaenge;USER_AFVolumen;USER_AI;USER_AIBreite;USER_AIHoehe;USER_AILaenge;USER_EANNummerVerp;USER_EANNummerVerp2;USER_Farbe;USER_GewVE1;USER_GewVE2;USER_MatZusammensetzung;USER_Material;USER_PHArtikel115Pal;USER_ULBreite;USER_ULGewicht;USER_ULHoehe;USER_ULLaenge;Verkaufsmengeneinheit;Warennummer;FEFCO_Code
211109825;"Kleinpaket Fefco0427, 225x155x77mm";"braun, 25 St. gebündelt, AM: 241x160x80mm";4250414146337;0.075;0;16;8;24.1;55;1.875;3.5;56.5;25;;15.5;7.7;22.5;4250414146351;;schwarz;;;"115 TL braun / 70 WS / 115 TL braun";1.02e;2800;;;;;Stck.;48191000;"Fefco 0427"
211109925;"Kleinpaket Fefco0427, 330x242x77mm";"braun, 25 St. gebündelt, AM: 346x247x80mm";4250414146306;0.131;0;24.7;8;34.6;67;3.275;3.5;72;25;;24.2;7.7;33;4250414146368;;schwarz;;;"115 TL braun / 70 WS / 115 TL braun";1.02e;1400;;;;;Stck.;48191000;"Fefco 0427"
211111050;"CD-JEWEL-MAILER DIN LANG, 225x125x12mm,";"sk m. Aufreißfaden, weiß, links, VE 2x50 Stück";4250414108229;0.035;0.06;13;1.7;22.8;19;1.75;22;33;100;;12.5;1.2;22.5;4250414108236;4250414110543;weiß;6;;"135 TL weiß / 70 WS / 135 TL";"1.20e weiß";2800;18.5;6.22;44.3;32.9;Stck.;48191000;Stanzverp.
211111150;"CD-JEWEL-MAILER DIN LANG, 225x125x12mm,";"sk m. Aufreißfaden, weiß, ohne, VE 2x50 Stück";4250414104849;0.037;0.06;13;1.7;22.8;32.5;6;8;44;100;;12.5;1.2;22.5;4250414109059;4250414104856;weiß;6;;"135 TL weiß / 70 Ws / 135 TL";"1.20e weiß";3200;18.5;6.22;44.3;32.9;Stck.;48191000;"Fefco 0201"
211111225;"UNIVERSALVERPACKUNG ""A5"",217x155x-60mm,";"sk m. Aufreißfaden,weiß,var. Höhe,25 St. geb.";4250414133405;0.083;0.083;16;7.2;26.8;26.5;2.075;9.5;51.5;25;;15.5;6;21.7;4250414137366;4250414133429;weiß;;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";1800;;;;;Stck.;48191000;
211111525;"UNIVERSALVERPACKUNG ""A4"", 304x215x-77mm,";"sk m. Aufreißfaden,weiß,var. Höhe,25 St. geb.";4250414105082;0.149;0.149;22.2;9.2;35.3;35;3.725;9.5;72;25;;21.5;7.7;30.4;4250414143473;4250414133443;braun;;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";900;;;;;Stck.;48191000;
211117725;"Maxibriefkarton Gr. 1, 160x113x42mm";"weiß, 25 St. geb.";4250414138530;0.049;0.049;;;;36.2;1.225;3.9;36.3;25;;11.3;4.2;16;4250414138783;;weiß;;;"135 TL weiß / 70 Ws / 135 TL braun";"1.20e weiß";3900;;;;;Stck.;48191000;"Fefco 0427"
211117825;"Maxibriefkarton, Gr. 2, 225x155x45mm";"weiß, 25 St. geb., AM: 240x160x48mm";4250414138547;0.072;0.072;;;;44;1.8;4;45.5;25;;;;0;4250414138790;;;;;"135 TL weiß / 70 WS / 135 TL braun ";"1.20e weiß";2600;;;;;Stck.;48191000;"Fefco 0427"
211117925;"Maxibriefkarton, Gr. 3, weiß, VE 25";"IM: 330x242x45mm, AM: 350x250x50mm";4250414138554;0.126;0.126;;;;54.5;3.15;3.9;63.1;25;;;;0;4250414138806;;;;;"135TLW / 70WS / 135TL";"1.20e weiß";1300;;;;;Stck.;48191000;"Fefco 0427"
211202025;"Universalverpackung, A5, 219x157x54mm ";"braun, 25 St. geb., ECOline";4250414142063;0.063;0.063;17;6;26;26;1.575;7.5;59;25;;15.7;5.4;21.9;;;;;;"115 TL braun / 70 WS / 115 TL braun ";1.02e;2550;;;;;Stck.;48191000;
211202125;"Universalverpackung, A4, 312x250x70mm ";"braun, 25 St. geb., ECOline";4250414141851;0.113;0.113;25.5;7.5;35.2;35.5;2.825;7.5;75;25;;25;7;31.2;;;;;;"115 TL braun / 70 WS / 115 TL braun ";"1.02e ";1350;;;;;Stck.;48191000;
